restaurant_id,restaurant_name,cuisine_type,city,zip_code,is_managed,account_manager,monthly_orders,avg_order_value,monthly_revenue,conversion_rate,page_views,menu_item_count,has_photos,avg_delivery_time_min,customer_rating,review_count,days_on_platform,has_pos_integration,uses_ads,monthly_ad_spend,order_method_online_pct,order_method_phone_pct,last_menu_update_days_ago,signup_date
R001,Crispy Palace,Chinese,Atlanta,30327,1,Emily Chen,923,38.48,35517.04,0.08,5023,27,1,31.06,3.93,196,550,1,0,0.0,0.43,0.57,1,2022-02-26
R002,Silver Fiesta,Mexican,Atlanta,30317,0,,221,12.0,2652.0,0.06,864,42,1,34.52,3.29,46,494,0,0,0.0,0.51,0.49,250,2023-01-10
R003,Lucky BBQ,BBQ,Atlanta,30306,0,,178,27.52,4898.56,0.04,1489,39,0,24.42,4.51,16,660,1,0,0.0,0.48,0.52,268,2024-06-23
R004,Lucky Spice House,Indian,Atlanta,30342,1,Jake Thompson,603,27.01,16287.03,0.12,3093,59,1,39.36,4.29,188,492,1,1,138.05,0.48,0.52,26,2021-04-01
R005,Urban Ramen House,Japanese,Atlanta,30339,1,Sarah Johnson,928,37.74,35022.72,0.08,2661,98,1,25.67,4.04,117,891,1,0,0.0,0.86,0.14,29,2023-08-20
R006,Golden Grill,Mediterranean,Atlanta,30329,0,,174,28.53,4964.22,0.03,50,79,1,47.91,3.95,5,835,0,0,0.0,0.62,0.38,215,2022-05-17
R007,Rustic Pit,BBQ,Atlanta,30324,0,,92,23.26,2139.92,0.03,452,59,0,42.81,3.85,31,572,1,1,159.65,0.41,0.59,244,2023-02-14
R008,Happy Taverna,Mediterranean,Atlanta,30311,0,,137,13.76,1885.12,0.05,1921,75,1,25.07,4.38,95,745,0,1,170.59,0.23,0.77,195,2025-01-11
R009,Urban Dragon,Chinese,Atlanta,30320,0,,220,27.67,6087.4,0.04,669,37,1,31.81,4.53,90,626,0,0,0.0,0.65,0.35,194,2020-01-09
R010,Sweet Noodle House,Thai,Atlanta,30322,0,,137,44.99,6163.63,0.03,50,35,0,65,3.18,23,972,0,0,0.0,0.57,0.43,275,2020-11-24
R011,Red Express,Chinese,Atlanta,30307,0,,408,26.28,10722.24,0.06,2864,35,0,34.89,3.0,67,734,1,0,0.0,0.73,0.27,114,2023-07-19
R012,Golden Burritos,Mexican,Atlanta,30349,1,Marcus Lee,321,29.72,9540.12,0.1,1616,72,1,28.04,4.53,14,30,1,1,10.0,0.7,0.3,10,2021-02-28
R013,Sweet Wok,Chinese,Atlanta,30309,0,,171,22.52,3850.92,0.05,1600,31,1,44.71,3.82,5,178,1,0,0.0,0.79,0.21,334,2021-10-23
R014,Buckhead Olive,Mediterranean,Atlanta,30346,1,Sarah Johnson,1044,35.34,36894.96,8.0,2403,78,1,37.52,4.37,274,272,1,1,126.33,0.45,0.55,10,2024-07-22
R015,Sizzling Oyster Bar,Seafood,Atlanta,30318,1,Priya Patel,815,36.83,30016.45,0.08,5855,26,1,44.06,4.66,87,544,1,0,0.0,0.91,0.09,41,2025-02-28
R016,Spicy Spice House,Indian,Atlanta,30317,0,,474,31.01,14698.74,0.08,50,35,0,20,3.66,170,1127,1,0,0.0,0.49,0.51,192,2024-11-14
R017,Sizzling Curry House,Indian,Atlanta,30336,0,,71,21.56,1530.76,0.03,2290,55,0,38.86,3.17,12,349,1,0,0.0,0.44,0.56,218,2021-05-25
R018,Atlanta Izakaya,Japanese,Atlanta,30334,1,David Washington,338,28.89,9764.82,0.11,950,15,1,29.62,4.66,103,600,1,1,124.36,0.51,0.49,13,2025-04-22
R019,Sunny Wok,Chinese,Atlanta,30322,0,,202,22.36,4516.72,0.03,50,57,1,48.58,3.92,95,668,0,0,0.0,0.45,0.55,197,2025-07-17
R020,Lucky Orchid,Thai,Atlanta,30301,0,,334,33.99,11352.66,0.01,3141,45,0,31.46,4.1,60,824,0,0,0.0,0.62,0.38,88,2024-12-17
R021,Classic Pier,Seafood,Atlanta,30336,0,,343,13.78,4726.54,0.03,1010,55,0,56.25,3.27,63,581,0,0,0.0,0.56,0.44,102,2021-07-20
R022,Lucky Palace,Chinese,Atlanta,30312,0,,299,31.65,9463.35,0.05,1189,15,0,52.43,3.6,5,628,1,0,0.0,0.35,0.65,153,2024-09-12
R023,Sizzling Ribs & Wings,BBQ,Atlanta,30317,0,,5,25.01,125.05,0.07,50,47,0,23.09,4.45,14,934,0,1,111.31,0.23,0.77,228,2022-01-14
R024,Sweet Burgers,American,Atlanta,30326,0,,198,31.18,6173.64,0.02,1196,65,1,20,3.42,15,951,0,0,0.0,0.51,0.49,1,2022-03-27
R025,East Kitchen,American,Atlanta,30318,0,,289,32.36,9352.04,0.05,2554,84,0,55.91,4.45,82,568,1,0,0.0,0.33,0.67,1,2024-06-12
R026,Red Osteria,Italian,Atlanta,30318,1,Marcus Lee,452,21.19,9577.88,0.07,220,52,1,30.8,4.2,83,561,1,1,95.98,0.71,0.29,51,2021-09-18
R027,Royal Spice,Thai,Atlanta,30320,0,,98,35.06,3435.88,0.03,50,46,0,48.74,3.81,77,601,0,0,0.0,0.31,0.69,70,2025-06-20
R028,Savory Ristorante,Italian,Atlanta,30327,1,Emily Chen,538,32.81,17651.78,0.06,4642,89,1,36.91,4.32,39,387,1,1,89.35,0.69,0.31,67,2023-06-08
R029,Savory Catch,Seafood,Atlanta,30346,1,David Washington,116,30.48,3535.68,0.07,744,67,1,37.43,4.55,39,408,1,1,147.71,0.24,0.76,9,2021-02-15
R030,Spicy Pizzeria,Italian,Atlanta,30329,1,Priya Patel,494,22.96,11342.24,0.13,2346,39,1,45.91,4.3,75,844,1,1,207.56,0.76,0.24,25,2025-05-10
R031,Classic Taqueria,Mexican,Atlanta,30332,0,,30,26.41,792.3,0.07,785,64,0,30.36,4.2,5,248,0,0,0.0,0.44,0.56,264,2024-10-22
R032,Midtown Kitchen,Japanese,Atlanta,30306,1,Marcus Lee,710,24.68,17522.8,0.1,4826,63,1,24.33,4.42,119,810,1,1,24.58,0.72,0.28,69,2022-03-21
R033,Blue Spice,Thai,Atlanta,30317,0,,85,35.42,3010.7,0.02,1072,54,1,29.02,4.39,75,377,0,0,0.0,0.16,0.84,172,2024-11-04
R034,East Curry House,Indian,Atlanta,30303,0,,190,37.08,7045.2,0.04,964,45,1,35.0,3.92,5,212,1,0,0.0,0.23,0.77,80,2021-01-08
R035,Savory Olive,Mediterranean,Atlanta,30327,0,,79,28.81,2275.99,0.05,144,20,1,51.9,4.19,47,985,0,0,0.0,0.67,0.33,331,2025-03-07
R036,Silver Orchid,Thai,Atlanta,30344,1,David Washington,534,20.94,11181.96,0.07,3080,69,0,35.63,4.23,101,231,1,1,43.2,0.8,0.2,32,2022-07-09
R037,Southern Taqueria,Mexican,Atlanta,30312,0,,5,26.1,130.5,0.04,81,86,1,52.51,3.65,78,187,0,0,0.0,0.2,0.8,256,2025-09-10
R038,Classic Sushi Bar,Japanese,Atlanta,30322,0,,143,14.69,2100.67,0.02,50,57,0,25.34,4.63,118,30,1,0,0.0,0.6,0.4,77,2023-07-27
R039,Crispy Olive,Mediterranean,Atlanta,30331,0,,369,25.23,9309.87,0.07,3668,50,1,44.58,3.73,81,571,1,0,0.0,0.56,0.44,143,2022-12-21
R040,West Tandoor,Indian,Atlanta,30327,0,,305,16.49,5029.45,0.03,2188,50,1,26.7,3.16,132,591,0,1,37.48,0.27,0.73,20,2020-04-28
R041,Smoky Grill,American,Atlanta,30322,0,,233,21.93,5109.69,0.05,306,70,1,54.22,3.68,12,411,0,0,0.0,0.45,0.55,53,2025-03-20
R042,Sunny Kitchen,Japanese,Atlanta,30313,0,,5,42.74,213.7,0.02,50,34,0,44.27,4.03,5,392,0,0,0.0,0.6,0.4,317,2024-06-09
R043,Golden Kitchen,Japanese,Atlanta,30306,0,,203,25.66,5208.98,0.01,212,60,1,35.34,3.9,117,649,1,1,19.73,0.47,0.53,131,2024-12-10
R044,Midtown Tavern,American,Atlanta,30311,0,,252,28.69,7229.88,0.05,2313,49,0,45.73,3.6,78,293,0,0,0.0,0.46,0.54,187,2020-11-04
R045,Rustic Dragon,Chinese,Atlanta,30332,0,,369,23.79,8778.51,0.05,76,65,0,25.97,3.48,93,547,1,1,315.08,0.37,0.63,204,2020-09-15
R046,Big Cafe,Mediterranean,Atlanta,30334,0,,135,27.59,3724.65,0.05,1111,30,1,39.68,4.56,20,213,0,0,0.0,0.45,0.55,54,2024-07-29
R047,Silver Izakaya,Japanese,Atlanta,30316,0,,5,37.24,186.2,0.03,50,78,1,40.69,3.98,39,790,0,0,0.0,0.37,0.63,134,2023-09-28
R048,Green Osteria,Italian,Atlanta,30316,0,,161,26.39,4248.79,0.03,234,87,1,59.19,4.06,26,756,1,0,0.0,0.58,0.42,165,2022-09-01
R049,Smoky Fish House,Seafood,Atlanta,30314,0,,178,30.39,5409.42,0.06,1415,33,0,52.23,4.01,101,506,0,0,0.0,0.18,0.82,135,2025-05-15
R050,Urban Basil,Thai,Atlanta,30341,0,,153,13.94,2132.82,0.06,1072,31,0,32.66,3.46,79,500,0,0,0.0,0.67,0.33,248,2022-05-30
R051,Southern Orchid,Thai,Atlanta,30334,0,,280,20.04,5611.2,0.05,1043,44,0,46.09,4.68,92,712,0,0,0.0,0.54,0.46,37,2023-09-12
R052,Urban Cocina,Mexican,Atlanta,30336,0,,124,23.15,2870.6,0.01,1270,63,1,56.22,4.58,87,257,0,0,0.0,0.69,0.31,287,2020-04-17
R053,Big Shack,Seafood,Atlanta,30303,0,,5,24.49,122.45,0.03,107,31,1,37.9,3.82,13,594,0,0,0.0,0.4,0.6,51,2020-12-13
R054,Green Kitchen,American,Atlanta,30306,1,Marcus Lee,856,24.78,21211.68,0.13,2529,55,1,29.05,4.21,207,156,1,1,214.93,0.63,0.37,28,2023-05-19
R055,Rustic Pizzeria,Italian,Atlanta,30319,1,Emily Chen,513,26.66,13676.58,0.09,1173,26,1,32.8,4.19,104,532,1,0,0.0,0.78,0.22,5,2024-07-14
R056,Spicy Basil,Thai,Atlanta,30332,0,,271,26.69,7232.99,0.02,1938,80,1,31.67,3.61,33,757,0,0,0.0,0.59,0.41,243,2021-04-12
R057,Atlanta Pit,BBQ,Atlanta,30328,0,,10,38.17,381.7,0.05,286,67,0,63.88,4.4,5,358,0,0,0.0,0.37,0.63,1,2023-08-16
R058,Red Kitchen,Indian,Atlanta,30337,1,Emily Chen,637,18.31,11663.47,0.08,3748,60,1,21.85,3.65,160,816,1,1,388.59,0.58,0.42,82,2022-02-10
R059,Atlanta Spice House,Indian,Atlanta,30306,0,,236,30.27,7143.72,0.01,2127,93,0,45.82,3.29,47,159,0,0,0.0,0.75,0.25,137,2023-10-02
R060,Smoky Taqueria,Mexican,Atlanta,30346,0,,142,23.95,3400.9,0.08,50,38,1,53.45,3.21,126,504,0,0,0.0,0.36,0.64,118,2023-09-07
R061,Sunny House,Chinese,Atlanta,30344,0,,274,22.57,6184.18,2.0,2719,31,1,56.29,4.16,61,450,0,0,0.0,0.75,0.25,142,2023-10-11
R062,Green Pier,Seafood,Atlanta,30331,0,,40,29.88,1195.2,0.07,50,77,0,44.58,4.51,15,607,1,0,0.0,0.24,0.76,303,2022-03-05
R063,Sunny Palace,Indian,Atlanta,30337,0,,133,24.83,3302.39,0.06,614,59,1,36.82,3.32,5,468,0,0,0.0,0.48,0.52,116,2023-01-22
R064,Little Taverna,Mediterranean,Atlanta,30312,0,,357,37.05,13226.85,0.07,1160,33,1,47.12,3.76,84,641,1,0,0.0,0.63,0.37,124,2020-06-05
R065,Big Teriyaki,Japanese,Atlanta,30311,1,Jake Thompson,665,25.42,16904.3,0.09,4282,16,1,29.08,4.49,140,570,1,0,0.0,0.69,0.31,18,2025-08-09
R066,Buckhead Fish House,Seafood,Atlanta,30342,0,,189,25.02,4728.78,3.0,1424,69,0,55.72,3.19,124,92,0,1,142.34,0.53,0.47,130,2024-05-03
R067,Sweet Tandoor,Indian,Atlanta,30328,0,,199,20.64,4107.36,0.02,217,61,0,44.41,3.64,57,270,0,0,0.0,0.52,0.48,119,2025-02-17
R068,Spicy Eatery,American,Atlanta,30305,0,,233,13.92,3243.36,0.04,1082,56,0,37.52,4.77,110,729,0,0,0.0,0.36,0.64,185,2024-12-06
R069,Smoky Orchid,Thai,Atlanta,30341,0,,137,20.63,2826.31,0.04,50,89,1,40.74,4.1,24,821,0,0,0.0,0.58,0.42,234,2025-01-05
R070,Sizzling Tavern,American,Atlanta,30336,1,Emily Chen,212,17.84,3782.08,0.12,50,51,1,43.44,4.41,33,310,1,1,130.34,0.54,0.46,36,2021-09-20
R071,Savory Cafe,Mediterranean,Atlanta,30337,0,,166,19.41,3222.06,0.03,50,85,0,52.67,3.46,78,582,0,0,0.0,0.62,0.38,105,2025-07-04
R072,Blue Pizzeria,Italian,Atlanta,30307,1,Jake Thompson,1138,30.43,34629.34,0.12,4354,91,1,31.25,4.06,180,545,1,1,266.82,0.72,0.28,51,2022-07-07
R073,Happy Cantina,Mexican,Atlanta,30318,0,,181,24.66,4463.46,0.02,863,48,1,57.93,3.9,5,517,0,1,369.49,0.46,0.54,20,2023-11-12
R074,Little Express,Chinese,Atlanta,30350,0,,226,32.24,7286.24,0.04,1259,63,1,46.92,3.8,18,1193,0,0,0.0,0.38,0.62,74,2021-05-27
R075,West Ramen House,Japanese,Atlanta,30350,0,,70,30.98,2168.6,0.07,50,15,1,34.73,4.52,46,214,0,0,0.0,0.4,0.6,82,2023-04-01
R076,Peachtree Ramen House,Japanese,Atlanta,30332,1,Emily Chen,278,17.22,4787.16,0.1,1138,47,0,34.82,3.92,169,429,1,1,299.95,0.74,0.26,41,2021-05-16
R077,Southern Ramen House,Japanese,Atlanta,30312,0,,249,28.84,7181.16,0.03,1202,73,0,35.48,4.61,9,603,0,0,0.0,0.86,0.14,181,2025-09-01
R078,Lucky Kitchen,Mediterranean,Atlanta,30350,1,David Washington,747,27.47,20520.09,0.05,1474,58,1,35.13,4.48,105,827,1,1,94.61,0.6,0.4,24,2025-01-18
R079,Sweet Ribs & Wings,BBQ,Atlanta,30310,0,,280,30.76,8612.8,0.06,365,75,0,52.69,4.02,64,477,0,1,10.0,0.56,0.44,119,2023-07-28
R080,Fresh Express,Chinese,Atlanta,30324,0,,66,22.03,1453.98,0.02,1076,57,1,34.58,4.09,95,238,0,0,0.0,0.48,0.52,280,2022-07-21
R081,Midtown Steakhouse,American,Atlanta,30313,0,,5,24.55,122.75,0.02,50,37,1,32.29,4.07,5,705,0,0,0.0,0.21,0.79,181,2020-09-12
R082,Atlanta Dragon,Chinese,Atlanta,30346,1,David Washington,849,25.92,22006.08,0.05,4965,48,1,38.11,3.96,157,378,1,0,0.0,0.63,0.37,50,2023-05-04
R083,Crispy Ramen House,Japanese,Atlanta,30341,0,,133,31.07,4132.31,0.05,50,33,0,52.36,3.0,51,365,0,0,0.0,0.41,0.59,229,2022-11-16
R084,Happy Kitchen,Mediterranean,Atlanta,30345,0,,156,33.64,5247.84,0.07,2771,72,1,42.49,4.11,21,896,0,1,500.0,0.41,0.59,221,2025-05-02
R085,West Kitchen,Mediterranean,Atlanta,30322,1,David Washington,871,25.54,22245.34,0.1,2292,51,1,20.34,4.57,130,965,1,0,0.0,0.35,0.65,33,2023-03-31
R086,Golden Bistro,American,Atlanta,30349,0,,106,30.88,3273.28,0.04,50,65,0,38.56,3.78,107,363,0,0,0.0,0.71,0.29,231,2023-04-23
R087,Sunny Oyster Bar,Seafood,Atlanta,30314,1,Aisha Mohammed,552,29.36,16206.72,0.06,1396,69,1,36.1,4.29,132,617,1,1,10.0,0.87,0.13,32,2022-08-25
R088,Sunny Diner,American,Atlanta,30339,0,,135,31.73,4283.55,0.07,1790,92,1,36.71,3.69,55,728,0,0,0.0,0.34,0.66,207,2025-04-12
R089,Modern Pit,BBQ,Atlanta,30318,1,Marcus Lee,191,24.83,4742.53,0.05,2273,15,1,28.5,4.26,75,343,1,1,10.0,0.67,0.33,22,2021-06-24
R090,Urban Grill,BBQ,Atlanta,30349,1,Sarah Johnson,561,17.64,9896.04,0.08,3104,72,1,32.08,3.89,132,497,0,0,0.0,0.64,0.36,9,2022-01-07
R091,Rustic House,Chinese,Atlanta,30334,0,,190,31.08,5905.2,0.03,915,104,1,37.45,4.04,33,899,1,0,0.0,0.49,0.51,226,2023-05-07
R092,Sunny Taverna,Mediterranean,Atlanta,30336,0,,15,28.01,420.15,0.03,2141,53,0,37.17,3.23,55,639,1,1,185.78,0.7,0.3,175,2020-07-18
R093,Sizzling Trattoria,Italian,Atlanta,30332,0,,47,28.8,1353.6,0.05,341,110,0,26.79,3.54,39,399,0,0,0.0,0.35,0.65,137,2023-02-01
R094,Buckhead Kitchen,American,Atlanta,30336,1,Jake Thompson,776,27.6,21417.6,0.07,1726,30,1,35.01,4.64,138,814,0,1,159.77,0.66,0.34,7,2025-12-10
R095,Fresh Dragon,Chinese,Atlanta,30319,1,Carlos Rivera,681,24.82,16902.42,0.1,2484,58,1,30.29,4.23,115,1086,1,1,295.75,0.67,0.33,46,2023-09-25
R096,Big Sushi Bar,Japanese,Atlanta,30316,1,Carlos Rivera,665,25.29,16817.85,0.12,2173,44,0,22.18,4.13,83,852,1,1,59.72,0.64,0.36,87,2025-04-07
R097,Big Spice House,Indian,Atlanta,30329,0,,355,37.5,13312.5,0.06,2343,20,1,33.96,4.01,100,396,0,0,0.0,0.45,0.55,70,2025-06-24
R098,Southern Kitchen,Mediterranean,Atlanta,30328,1,Priya Patel,935,30.81,28807.35,0.11,5920,84,1,30.06,4.79,193,632,1,1,204.08,0.73,0.27,35,2022-06-14
R099,Southern BBQ,BBQ,Atlanta,30306,0,,54,20.0,1080.0,2.0,96,53,0,37.74,5.0,100,659,0,0,0.0,0.56,0.44,127,2021-01-29
R100,Green Pit,BBQ,Atlanta,30315,0,,113,22.87,2584.31,0.05,50,59,0,36.2,4.7,145,1050,0,1,103.3,0.58,0.42,23,2021-12-02
